season,week,celebrity_name,judge_score,fan_vote_mean,rank_based_rank,pct_based_rank,current_system,current_system_rank,opposing_system,opposing_system_rank
2,6,Stacy Keibler,30.0,0.2478091040439772,1,1,Rank,1,Percent,1
2,6,Jerry Rice,23.0,0.2172044687857194,3,4,Rank,4,Percent,4
2,6,Drew Lachey,30.0,0.2022889122682089,2,2,Rank,1,Percent,2
2,7,Lisa Rinna,26.5,0.1786241512107191,4,4,Rank,3,Percent,4
2,7,Stacy Keibler,27.5,0.2984915017659362,1,1,Rank,1,Percent,1
2,7,Jerry Rice,20.5,0.2824156566589689,3,3,Rank,4,Percent,3
2,7,Drew Lachey,27.5,0.2404686903643768,2,2,Rank,1,Percent,2
2,8,Stacy Keibler,28.6665,0.3833857838125697,1,1,Rank,2,Percent,1
2,8,Jerry Rice,26.666600000000003,0.3039265771710057,3,3,Rank,3,Percent,3
2,8,Drew Lachey,28.9998,0.31268763901642,1,2,Rank,1,Percent,2
3,1,Harry Hamlin,17.0,0.0833276602054589,10,9,Percent,8,Rank,10
3,1,Vivica A. Fox,22.0,0.0897585103089707,4,5,Percent,3,Rank,4
3,1,Monique Coleman,19.0,0.0860634298915489,8,7,Percent,6,Rank,8
3,1,Joey Lawrence,21.0,0.09605196842531,4,4,Percent,5,Rank,4
3,1,Mario Lopez,26.0,0.1128746786505781,1,1,Percent,1,Rank,1
3,1,Emmitt Smith,24.0,0.0964932815887131,2,2,Percent,2,Rank,2
3,1,Shanna Moakler,18.0,0.0904610265878009,7,8,Percent,7,Rank,7
3,1,Willa Ford,22.0,0.0989577670971637,2,3,Percent,3,Rank,2
3,1,Sara Evans,15.0,0.115306152142282,6,6,Percent,10,Rank,6
3,1,Jerry Springer,16.0,0.0870798120193836,9,10,Percent,9,Rank,9
3,1,Tucker Carlson,12.0,0.0436257130827892,11,11,Percent,11,Rank,11
3,2,Harry Hamlin,21.0,0.0987938232472635,8,8,Percent,7,Rank,8
3,2,Vivica A. Fox,24.0,0.0979562248777243,7,6,Percent,3,Rank,7
3,2,Monique Coleman,26.0,0.1004263821568771,3,3,Percent,2,Rank,3
3,2,Joey Lawrence,29.0,0.1124024146085203,1,1,Percent,1,Rank,1
3,2,Mario Lopez,21.0,0.1095172622759022,6,7,Percent,7,Rank,6
3,2,Emmitt Smith,24.0,0.1005742691425078,3,5,Percent,3,Rank,3
3,2,Shanna Moakler,22.0,0.0423508373373352,10,10,Percent,6,Rank,10
3,2,Willa Ford,23.0,0.1050013691766203,3,4,Percent,5,Rank,3
3,2,Sara Evans,21.0,0.128860937051398,2,2,Percent,7,Rank,2
3,2,Jerry Springer,19.0,0.1041164801258521,8,9,Percent,10,Rank,8
3,3,Harry Hamlin,22.0,0.0464988268140381,7,9,Percent,4,Rank,7
3,3,Vivica A. Fox,27.0,0.1120598425802022,6,3,Percent,1,Rank,6
3,3,Monique Coleman,27.0,0.113135027646964,4,2,Percent,1,Rank,4
3,3,Joey Lawrence,22.0,0.1157898101399071,4,6,Percent,4,Rank,4
3,3,Mario Lopez,22.0,0.1210805744560601,2,4,Percent,4,Rank,2
3,3,Emmitt Smith,19.0,0.1131872761473489,9,8,Percent,9,Rank,9
3,3,Willa Ford,22.0,0.1160263076399428,3,5,Percent,4,Rank,3
3,3,Sara Evans,25.0,0.1487621727586122,1,1,Percent,3,Rank,1
3,3,Jerry Springer,21.0,0.1134601618169264,7,7,Percent,8,Rank,7
3,4,Vivica A. Fox,24.0,0.0552403161616577,7,8,Percent,4,Rank,7
3,4,Monique Coleman,24.0,0.1238169801354694,6,6,Percent,4,Rank,6
3,4,Joey Lawrence,27.0,0.1321918841993222,3,3,Percent,3,Rank,3
3,4,Mario Lopez,29.0,0.1425013731749154,1,1,Percent,1,Rank,1
3,4,Emmitt Smith,24.0,0.1253424293041198,5,5,Percent,4,Rank,5
3,4,Willa Ford,28.0,0.1343376665813434,2,2,Percent,2,Rank,2
3,4,Sara Evans,20.0,0.157726322359369,4,4,Percent,8,Rank,4
3,4,Jerry Springer,22.0,0.1288430280838029,7,7,Percent,7,Rank,7
3,5,Monique Coleman,27.0,0.1444057147444832,3,4,Percent,1,Rank,3
3,5,Joey Lawrence,25.0,0.1523931135068192,5,5,Percent,5,Rank,5
3,5,Mario Lopez,27.0,0.1578984175060855,1,2,Percent,1,Rank,1
3,5,Emmitt Smith,27.0,0.1461186383022292,2,3,Percent,1,Rank,2
3,5,Willa Ford,27.0,0.0663134806505435,5,7,Percent,1,Rank,5
3,5,Sara Evans,24.0,0.1817839158518632,3,1,Percent,6,Rank,3
3,5,Jerry Springer,24.0,0.1510867194379772,7,6,Percent,6,Rank,7
3,6,Monique Coleman,23.0,0.1864461347797148,4,4,Percent,4,Rank,4
3,6,Joey Lawrence,24.0,0.2048157191538599,2,3,Percent,3,Rank,2
3,6,Mario Lopez,28.0,0.2355314419351237,1,1,Percent,1,Rank,1
3,6,Emmitt Smith,25.0,0.1986811002661263,2,2,Percent,2,Rank,2
3,6,Jerry Springer,18.0,0.1745256038651762,5,5,Percent,5,Rank,5
3,7,Monique Coleman,27.0,0.210992424330292,4,4,Percent,4,Rank,4
3,7,Joey Lawrence,28.5,0.2227461774474506,1,2,Percent,1,Rank,1
3,7,Mario Lopez,28.0,0.2329523222730564,2,1,Percent,3,Rank,2
3,7,Emmitt Smith,28.5,0.2140731192070121,2,3,Percent,1,Rank,2
3,7,Jerry Springer,23.0,0.1192359567421867,5,5,Percent,5,Rank,5
3,8,Monique Coleman,26.5,0.1455000757417983,4,4,Percent,4,Rank,4
3,8,Joey Lawrence,27.0,0.2837770011639163,2,2,Percent,2,Rank,2
3,8,Mario Lopez,28.5,0.2957802509825925,1,1,Percent,1,Rank,1
3,8,Emmitt Smith,27.0,0.2749426721116937,3,3,Percent,2,Rank,3
3,9,Joey Lawrence,29.5,0.3325150996328367,2,2,Percent,1,Rank,2
3,9,Mario Lopez,29.5,0.3511914163414875,1,1,Percent,1,Rank,1
3,9,Emmitt Smith,29.5,0.3162934840256707,3,3,Percent,1,Rank,3
3,10,Mario Lopez,29.666600000000003,0.5264298944777638,1,1,Percent,1,Rank,1
3,10,Emmitt Smith,29.666600000000003,0.4735701055222353,2,2,Percent,1,Rank,2
4,1,John Ratzenberger,17.0,0.0855555518887494,8,8,Percent,8,Rank,8
4,1,Ian Ziering,21.0,0.095104937978665,4,4,Percent,3,Rank,4
4,1,Clyde Drexler,16.0,0.0827195297189947,9,9,Percent,9,Rank,9
4,1,Laila Ali,23.0,0.1013029712037565,2,2,Percent,2,Rank,2
4,1,Apolo Anton Ohno,21.0,0.0953592950844602,3,3,Percent,3,Rank,3
4,1,Shandi Finnessey,19.0,0.0905881186391352,7,7,Percent,5,Rank,7
4,1,Paulina Porizkova,19.0,0.0905944506995737,6,6,Percent,5,Rank,6
4,1,Heather Mills,18.0,0.0956652298864228,5,5,Percent,7,Rank,5
4,1,Billy Ray Cyrus,13.0,0.0790443737369109,11,11,Percent,11,Rank,11
4,1,Joey Fatone,24.0,0.1026889404747759,1,1,Percent,1,Rank,1
4,1,Leeza Gibbons,15.0,0.0813766006885537,10,10,Percent,10,Rank,10
4,2,John Ratzenberger,21.0,0.0932923900841286,8,8,Percent,6,Rank,8
4,2,Ian Ziering,22.0,0.0940050999758154,6,5,Percent,5,Rank,6
4,2,Clyde Drexler,18.0,0.0947645231238082,9,10,Percent,11,Rank,9
4,2,Laila Ali,27.0,0.1022599963810604,1,1,Percent,1,Rank,1
4,2,Apolo Anton Ohno,26.0,0.0985365427996811,2,2,Percent,2,Rank,2
4,2,Shandi Finnessey,20.0,0.0937401147318389,11,9,Percent,10,Rank,11
4,2,Paulina Porizkova,21.0,0.0362527398406986,9,11,Percent,6,Rank,9
4,2,Heather Mills,24.0,0.1020345066343819,2,3,Percent,3,Rank,2
4,2,Billy Ray Cyrus,21.0,0.0952997610576247,5,6,Percent,6,Rank,5
4,2,Joey Fatone,24.0,0.0962591974335213,4,4,Percent,3,Rank,4
4,2,Leeza Gibbons,21.0,0.0935551279374429,7,7,Percent,6,Rank,7
4,3,John Ratzenberger,20.0,0.1037160567686222,10,8,Percent,9,Rank,10
4,3,Ian Ziering,24.0,0.106048005205101,3,3,Percent,1,Rank,3
4,3,Clyde Drexler,16.0,0.1086925206736932,5,9,Percent,10,Rank,5
4,3,Laila Ali,21.0,0.1051714245623487,8,7,Percent,6,Rank,8
4,3,Apolo Anton Ohno,23.0,0.1051977237559032,5,5,Percent,5,Rank,5
4,3,Shandi Finnessey,21.0,0.0403808128048982,9,10,Percent,6,Rank,9
4,3,Heather Mills,24.0,0.1128391551716605,1,1,Percent,1,Rank,1
4,3,Billy Ray Cyrus,21.0,0.1056027738462703,5,6,Percent,6,Rank,5
4,3,Joey Fatone,24.0,0.1067006620309402,2,2,Percent,1,Rank,2
4,3,Leeza Gibbons,24.0,0.1056508651805589,4,4,Percent,1,Rank,4
4,4,John Ratzenberger,16.0,0.1108029582650436,7,7,Percent,7,Rank,7
4,4,Ian Ziering,24.0,0.1187077077346011,4,4,Percent,3,Rank,4
4,4,Clyde Drexler,15.0,0.1121434443245389,8,8,Percent,9,Rank,8
4,4,Laila Ali,21.0,0.114788875639727,6,6,Percent,5,Rank,6
4,4,Apolo Anton Ohno,26.0,0.1238202597716823,2,2,Percent,2,Rank,2
4,4,Heather Mills,23.0,0.1247674676785205,3,3,Percent,4,Rank,3
4,4,Billy Ray Cyrus,21.0,0.1148653114368589,5,5,Percent,5,Rank,5
4,4,Joey Fatone,28.0,0.1292858290203737,1,1,Percent,1,Rank,1
4,4,Leeza Gibbons,16.0,0.0508181461286544,8,9,Percent,7,Rank,8
4,5,John Ratzenberger,18.0,0.1198630300267549,6,6,Percent,6,Rank,6
4,5,Ian Ziering,24.0,0.1313696711298993,4,4,Percent,4,Rank,4
4,5,Clyde Drexler,13.0,0.0646312816085747,8,8,Percent,8,Rank,8
4,5,Laila Ali,28.0,0.1446347511492202,2,2,Percent,2,Rank,2
4,5,Apolo Anton Ohno,30.0,0.1483731012300804,1,1,Percent,1,Rank,1
4,5,Heather Mills,21.0,0.1335453540916078,4,5,Percent,5,Rank,4
4,5,Billy Ray Cyrus,17.0,0.1222178869059761,6,7,Percent,7,Rank,6
4,5,Joey Fatone,25.0,0.1353649238578841,3,3,Percent,3,Rank,3
4,6,John Ratzenberger,19.0,0.1566614671898599,4,6,Percent,7,Rank,4
4,6,Ian Ziering,24.0,0.1512272025966819,6,4,Percent,4,Rank,6
4,6,Laila Ali,28.0,0.1575367594857468,1,1,Percent,1,Rank,1
4,6,Apolo Anton Ohno,28.0,0.1552374148495179,2,2,Percent,1,Rank,2
4,6,Heather Mills,23.0,0.0695423843656316,7,7,Percent,5,Rank,7
4,6,Billy Ray Cyrus,21.0,0.1554367988437494,4,5,Percent,6,Rank,4
4,6,Joey Fatone,27.0,0.1543579726688076,3,3,Percent,3,Rank,3
4,7,John Ratzenberger,22.5,0.0875068505993144,6,6,Percent,5,Rank,6
4,7,Ian Ziering,27.0,0.1782786966960348,4,4,Percent,3,Rank,4
4,7,Laila Ali,29.5,0.186153710447597,1,1,Percent,1,Rank,1
4,7,Apolo Anton Ohno,27.0,0.1789279881048761,3,3,Percent,3,Rank,3
4,7,Billy Ray Cyrus,19.0,0.1853101143063758,4,5,Percent,6,Rank,4
4,7,Joey Fatone,29.5,0.1838226398458055,2,2,Percent,1,Rank,2
4,8,Ian Ziering,23.5,0.213556146790141,4,4,Percent,4,Rank,4
4,8,Laila Ali,26.5,0.2201837581487987,3,3,Percent,3,Rank,3
4,8,Apolo Anton Ohno,29.0,0.2237303210443002,1,1,Percent,1,Rank,1
4,8,Billy Ray Cyrus,19.0,0.1221750436358366,5,5,Percent,5,Rank,5
4,8,Joey Fatone,27.5,0.2203547303809178,2,2,Percent,2,Rank,2
4,9,Ian Ziering,29.0,0.1489924212249537,4,4,Percent,4,Rank,4
4,9,Laila Ali,30.0,0.284370275035531,1,1,Percent,1,Rank,1
4,9,Apolo Anton Ohno,29.5,0.2834528355173068,3,3,Percent,3,Rank,3
4,9,Joey Fatone,30.0,0.2831844682222111,2,2,Percent,1,Rank,2
4,10,Laila Ali,28.333200000000005,0.3327486172371665,2,3,Percent,3,Rank,2
4,10,Apolo Anton Ohno,29.3332,0.3352519375038984,1,1,Percent,1,Rank,1
4,10,Joey Fatone,28.6665,0.331999445258932,2,2,Percent,2,Rank,2
5,1,Cameron Mathison,21.0,0.0824334800078014,9,9,Percent,5,Rank,9
5,1,Jane Seymour,24.0,0.0915495703897966,2,3,Percent,3,Rank,2
5,1,Sabrina Bryan,26.0,0.0948893918365339,1,1,Percent,1,Rank,1
5,1,Jennie Garth,21.0,0.0847030575873161,7,7,Percent,5,Rank,7
5,1,Floyd Mayweather Jr. ,18.0,0.0803966599902369,11,11,Percent,11,Rank,11
5,1,Josie Maran,16.0,0.0384654571704024,12,12,Percent,12,Rank,12
5,1,Albert Reed,21.0,0.0834715731204393,8,8,Percent,5,Rank,8
5,1,Helio Castroneves,25.0,0.0889131003538707,2,2,Percent,2,Rank,2
5,1,Mel B,24.0,0.0869804005498853,5,4,Percent,3,Rank,5
5,1,Wayne Newton,19.0,0.0847434852485359,10,10,Percent,10,Rank,10
5,1,Marie Osmond,21.0,0.096541813757531,2,5,Percent,5,Rank,2
5,1,Mark Cuban,21.0,0.0869120099876508,6,6,Percent,5,Rank,6
5,2,Cameron Mathison,21.0,0.0910259321630095,7,7,Percent,5,Rank,7
5,2,Jane Seymour,21.0,0.0952630977452732,4,5,Percent,5,Rank,4
5,2,Sabrina Bryan,26.0,0.1012406320756673,1,2,Percent,2,Rank,1
5,2,Jennie Garth,21.0,0.0930749310140803,5,6,Percent,5,Rank,5
5,2,Floyd Mayweather Jr. ,21.0,0.0902942579903177,9,8,Percent,5,Rank,9
5,2,Albert Reed,21.0,0.0343647661082612,11,11,Percent,5,Rank,11
5,2,Helio Castroneves,27.0,0.0986044544324408,3,1,Percent,1,Rank,3
5,2,Mel B,23.0,0.0920977002275558,5,4,Percent,4,Rank,5
5,2,Wayne Newton,15.0,0.0998395449178759,7,10,Percent,11,Rank,7
5,2,Marie Osmond,24.0,0.1079687396941931,1,3,Percent,3,Rank,1
5,2,Mark Cuban,18.0,0.0962259436313232,9,9,Percent,10,Rank,9
5,3,Cameron Mathison,23.0,0.0993568628638512,7,7,Percent,7,Rank,7
5,3,Jane Seymour,27.0,0.1101868528596062,1,2,Percent,1,Rank,1
5,3,Sabrina Bryan,27.0,0.1101743646312191,2,3,Percent,1,Rank,2
5,3,Jennie Garth,26.0,0.1053744124937149,5,5,Percent,4,Rank,5
5,3,Floyd Mayweather Jr. ,21.0,0.0975898974064224,9,9,Percent,8,Rank,9
5,3,Helio Castroneves,24.0,0.1009002772763368,6,6,Percent,6,Rank,6
5,3,Mel B,27.0,0.1049683542405009,4,4,Percent,1,Rank,4
5,3,Wayne Newton,18.0,0.0501156790567504,10,10,Percent,10,Rank,10
5,3,Marie Osmond,26.0,0.1189863226079104,3,1,Percent,4,Rank,3
5,3,Mark Cuban,20.0,0.1023469765636863,7,8,Percent,9,Rank,7
5,4,Cameron Mathison,27.0,0.114147359049815,6,5,Percent,2,Rank,6
5,4,Jane Seymour,26.0,0.1181348087434579,4,6,Percent,5,Rank,4
5,4,Sabrina Bryan,30.0,0.1240216997188843,1,1,Percent,1,Rank,1
5,4,Jennie Garth,27.0,0.1167123724146624,3,3,Percent,2,Rank,3
5,4,Floyd Mayweather Jr. ,23.0,0.0524757833909165,9,9,Percent,8,Rank,9
5,4,Helio Castroneves,27.0,0.1149039536136301,4,4,Percent,2,Rank,4
5,4,Mel B,26.0,0.1136230838025763,7,7,Percent,5,Rank,7
5,4,Marie Osmond,26.0,0.1287556096379027,2,2,Percent,5,Rank,2
5,4,Mark Cuban,22.0,0.1172253296281518,7,8,Percent,9,Rank,7
5,5,Cameron Mathison,26.0,0.128513372560328,5,4,Percent,3,Rank,5
5,5,Jane Seymour,26.0,0.1345072206292083,3,3,Percent,3,Rank,3
5,5,Sabrina Bryan,28.0,0.1379603474684496,1,2,Percent,2,Rank,1
5,5,Jennie Garth,25.0,0.1306358738466112,6,5,Percent,5,Rank,6
5,5,Helio Castroneves,23.0,0.1277021504674788,7,7,Percent,6,Rank,7
5,5,Mel B,29.0,0.133813215450983,2,1,Percent,1,Rank,2
5,5,Marie Osmond,21.0,0.1425468566423075,4,6,Percent,7,Rank,4
5,5,Mark Cuban,21.0,0.0643209629346332,8,8,Percent,7,Rank,8
5,6,Cameron Mathison,25.0,0.1492613286096388,6,5,Percent,4,Rank,6
5,6,Jane Seymour,22.0,0.1574876697442489,5,6,Percent,7,Rank,5
5,6,Sabrina Bryan,25.0,0.069788294814354,7,7,Percent,4,Rank,7
5,6,Jennie Garth,27.0,0.1526338059658494,2,3,Percent,3,Rank,2
5,6,Helio Castroneves,28.0,0.1508318521035904,2,2,Percent,2,Rank,2
5,6,Mel B,30.0,0.1532495778889445,1,1,Percent,1,Rank,1
5,6,Marie Osmond,23.0,0.1667474708733748,2,4,Percent,6,Rank,2
5,7,Cameron Mathison,25.5,0.1775434206328823,5,5,Percent,5,Rank,5
5,7,Jane Seymour,25.0,0.0875596948791581,6,6,Percent,6,Rank,6
5,7,Jennie Garth,26.5,0.1804859196700655,1,3,Percent,2,Rank,1
5,7,Helio Castroneves,26.0,0.1785342817545461,4,4,Percent,3,Rank,4
5,7,Mel B,27.0,0.1777936363856428,3,2,Percent,1,Rank,3
5,7,Marie Osmond,26.0,0.1980830466777014,1,1,Percent,3,Rank,1
5,8,Cameron Mathison,25.5,0.1080675655612727,5,5,Percent,3,Rank,5
5,8,Jennie Garth,25.0,0.2200551997408355,2,4,Percent,4,Rank,2
5,8,Helio Castroneves,28.5,0.2167757655340323,1,1,Percent,1,Rank,1
5,8,Mel B,28.0,0.2159344863731719,2,2,Percent,2,Rank,2
5,8,Marie Osmond,24.5,0.2391669827906878,2,3,Percent,5,Rank,2
5,9,Jennie Garth,29.0,0.1476693511702336,4,4,Percent,3,Rank,4
5,9,Helio Castroneves,30.0,0.275476319440861,2,3,Percent,1,Rank,2
5,9,Mel B,30.0,0.2756914062612049,1,2,Percent,1,Rank,1
5,9,Marie Osmond,28.0,0.3011629231277006,3,1,Percent,4,Rank,3
5,10,Helio Castroneves,27.999900000000004,0.3277154325746827,3,2,Percent,2,Rank,3
5,10,Mel B,28.3332,0.3290039933949371,1,1,Percent,1,Rank,1
5,10,Marie Osmond,23.0,0.3432805740303845,2,3,Percent,3,Rank,2
6,1,Cristian de la Fuente,21.0,0.0674957617669176,7,7,Percent,6,Rank,7
6,1,Steve Guttenberg,18.0,0.0624807998003084,9,9,Percent,8,Rank,9
6,1,Priscilla Presley,24.0,0.08040110564759,2,3,Percent,2,Rank,2
6,1,Marlee Matlin,22.0,0.0709383542361641,5,6,Percent,4,Rank,5
6,1,Shannon Elizabeth,21.0,0.0783548374997396,5,5,Percent,6,Rank,5
6,1,Marissa Jaret Winokur,18.0,0.0629923054343983,8,8,Percent,8,Rank,8
6,1,Jason Taylor,22.0,0.0747709038787034,4,4,Percent,4,Rank,4
6,1,Kristi Yamaguchi,27.0,0.0793658637211971,2,2,Percent,1,Rank,2
6,1,Monica Seles,15.0,0.0586454404692592,11,12,Percent,11,Rank,11
6,1,Penn Jillette,16.0,0.0584510693818355,11,10,Percent,10,Rank,11
6,1,Adam Carolla,15.0,0.059640820731478,10,11,Percent,11,Rank,10
6,1,Mario,24.0,0.2464627374324104,1,1,Percent,2,Rank,1
6,2,Cristian de la Fuente,20.0,0.0664052924954063,9,8,Percent,8,Rank,9
6,2,Steve Guttenberg,16.0,0.0660394422425678,10,11,Percent,11,Rank,10
6,2,Priscilla Presley,21.0,0.0749595987946969,6,6,Percent,6,Rank,6
6,2,Marlee Matlin,24.0,0.0731781931018048,5,5,Percent,4,Rank,5
6,2,Shannon Elizabeth,24.0,0.0820740386324758,4,4,Percent,4,Rank,4
6,2,Marissa Jaret Winokur,21.0,0.0674672498231285,7,7,Percent,6,Rank,7
6,2,Jason Taylor,27.0,0.0815078129337527,1,2,Percent,1,Rank,1
6,2,Kristi Yamaguchi,27.0,0.0780505835496833,3,3,Percent,1,Rank,3
6,2,Monica Seles,15.0,0.0318764464309228,12,12,Percent,12,Rank,12
6,2,Penn Jillette,17.0,0.0648852185538995,10,10,Percent,10,Rank,10
6,2,Adam Carolla,19.0,0.0675313538458124,8,9,Percent,9,Rank,8
6,2,Mario,26.0,0.24602476959585,1,1,Percent,3,Rank,1
6,3,Cristian de la Fuente,25.0,0.0832689874893477,6,5,Percent,3,Rank,6
6,3,Steve Guttenberg,21.0,0.0362829108290814,9,10,Percent,6,Rank,9
6,3,Priscilla Presley,26.0,0.0929185669924763,1,2,Percent,2,Rank,1
6,3,Marlee Matlin,21.0,0.0839928399072922,8,8,Percent,6,Rank,8
6,3,Shannon Elizabeth,24.0,0.0933499509482477,3,4,Percent,4,Rank,3
6,3,Marissa Jaret Winokur,19.0,0.0850276912202238,9,9,Percent,10,Rank,9
6,3,Jason Taylor,23.0,0.0871700257409247,5,6,Percent,5,Rank,5
6,3,Kristi Yamaguchi,27.0,0.0877964120426551,1,3,Percent,1,Rank,1
6,3,Adam Carolla,21.0,0.0841074147712276,7,7,Percent,6,Rank,7
6,3,Mario,21.0,0.266085200058521,4,1,Percent,6,Rank,4
6,4,Cristian de la Fuente,26.0,0.0896340315766587,5,5,Percent,4,Rank,5
6,4,Priscilla Presley,22.0,0.0954844960617637,7,8,Percent,8,Rank,7
6,4,Marlee Matlin,24.0,0.0902098701772917,5,6,Percent,5,Rank,5
6,4,Shannon Elizabeth,28.0,0.1045653177339923,2,2,Percent,3,Rank,2
6,4,Marissa Jaret Winokur,24.0,0.0886750210767782,7,7,Percent,5,Rank,7
6,4,Jason Taylor,29.0,0.1000225474254981,1,3,Percent,1,Rank,1
6,4,Kristi Yamaguchi,29.0,0.0960194182705147,2,4,Percent,1,Rank,2
6,4,Adam Carolla,19.0,0.0495361873552103,9,9,Percent,9,Rank,9
