season,week,actual_elim,rank_pred,pct_pred,var_rank_judge,var_rank_fan,var_pct_judge,var_pct_fan,rank_obeys_fan,pct_obeys_fan,rank_correct,pct_correct
7,5,Toni Braxton,Toni Braxton,Toni Braxton,4.1875,5.25,0.00024942472057856664,0.0006711865151443365,True,True,True,True
7,6,Cloris Leachman,Cloris Leachman,Cloris Leachman,3.8367346938775513,4.0,0.000540497448979592,0.0006819656358734112,True,True,True,True
7,7,Susan Lucci,Susan Lucci,Susan Lucci,3.2222222222222228,2.9166666666666665,0.0003817853672081079,0.0015408948375247161,True,True,True,True
7,8,Maurice Greene,Maurice Greene,Maurice Greene,1.3599999999999999,2.0,0.00013533256439830841,0.0022081395672383436,True,True,True,True
7,9,Cody Linley,Cody Linley,Cody Linley,1.1875,1.25,0.0004130467067646837,0.0033126840810790365,True,True,True,True
7,10,,Lance Bass,Lance Bass,0.2222222222222222,0.6666666666666666,0.00019223375624759717,0.0007773486169125303,True,True,False,False
8,1,,Steve Wozniak,Steve Wozniak,14.177514792899407,14.0,0.00018337994490785455,9.923869306159339e-05,True,True,False,False
8,2,Belinda Carlisle,David Alan Grier,Belinda Carlisle,12.852071005917159,14.0,0.00018739428000867883,0.0002436502298771559,False,True,False,True
8,3,Denise Richards,Denise Richards,Denise Richards,14.138888888888888,11.916666666666666,0.0004387369885850884,0.00029093897071224916,True,True,True,True
8,4,Steve Wozniak,Steve Wozniak,Steve Wozniak,10.148760330578511,10.0,0.0005433061576767608,0.0003483729594956893,True,True,True,True
8,5,David Alan Grier,David Alan Grier,David Alan Grier,7.209876543209877,6.666666666666667,0.0002418745275888134,0.0005880776595126167,True,True,True,True
8,6,Steve-O,Steve-O,Steve-O,5.484375,5.25,0.00048235345126604226,0.0006665969528259017,True,True,True,True
8,7,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,4.122448979591837,4.0,0.00018976314109752095,0.0008161340976252402,True,True,True,True
8,8,Chuck Wicks,Chuck Wicks,Chuck Wicks,2.8888888888888893,2.9166666666666665,0.00010615275038351963,0.0014389196391197713,True,True,True,True
8,9,Lil' Kim,Lil' Kim,Lil' Kim,2.16,2.0,0.00023341609504972722,0.0018328641771472726,True,True,True,True
8,10,Ty Murray,Ty Murray,Ty Murray,1.25,1.25,0.00038963949875940867,0.003159278236300853,True,True,True,True
8,11,,Gilles Marini,Gilles Marini,0.6666666666666666,0.6666666666666666,5.079365079365075e-05,0.0003301300755638107,True,True,False,False
9,1,Ashley Hamiliton,Ashley Hamiliton,Ashley Hamiliton,19.6875,21.25,0.00016142861530638785,0.0001409547908430482,True,True,True,True
9,2,Kathy Ireland,Kathy Ireland,Kathy Ireland,14.372448979591836,16.25,0.00010247053145845317,0.0001722694128511251,True,True,True,True
9,3,Debi Mazar,Debi Mazar,Debi Mazar,13.869822485207099,14.0,0.00020765706999430013,0.00023408575275453265,True,True,True,True
9,4,Chuck Liddell,Chuck Liddell,Chuck Liddell,10.198347107438018,10.0,0.0003259836946060565,0.0003186874565944264,True,True,True,True
9,5,Natalie Coughlin,Michael Irvin,Natalie Coughlin,7.890000000000001,8.25,9.493887029574483e-05,0.00037151655023915286,False,True,False,True
9,6,Melissa Joan Hart,Melissa Joan Hart,Melissa Joan Hart,6.666666666666667,6.666666666666667,0.00034334670467242915,0.0004914296952450632,True,True,True,True
9,7,Mark Dacascos,Mark Dacascos,Mark Dacascos,4.122448979591836,4.0,0.00011694842789673876,0.0008201519761840006,True,True,True,True
9,8,Aaron Carter,Aaron Carter,Aaron Carter,1.3599999999999999,2.0,0.00016665695472291804,0.0020016959017197977,True,True,True,True
9,9,Joanna Krupa,Joanna Krupa,Joanna Krupa,1.25,1.25,0.00021972953843949405,0.0035622807441814596,True,True,True,True
9,10,,Kelly Osbourne,Kelly Osbourne,0.6666666666666666,0.6666666666666666,0.00039767907544342463,0.0003651203868666807,True,True,False,False
10,1,,Aiden Turner,Buzz Aldrin,9.867768595041323,10.0,0.00023725730554786668,0.00014807003046530905,True,False,False,False
10,2,Shannen Doherty,Aiden Turner,Shannen Doherty,9.900826446280993,10.0,0.0003756574004507888,0.0004296135524486808,False,True,False,True
10,3,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,8.6,8.25,0.00031570773374748235,0.0003492049576435169,True,True,True,True
10,4,Aiden Turner,Aiden Turner,Aiden Turner,6.666666666666667,6.666666666666667,0.0003467600138165836,0.0005243725601049964,True,True,True,True
10,5,Kate Gosselin,Kate Gosselin,Kate Gosselin,4.734375,5.25,0.0006510199137959838,0.000481962713731812,True,True,True,True
10,6,Jake Pavelka,Jake Pavelka,Jake Pavelka,4.0,4.0,0.0003363961182943826,0.0009084704225183578,True,True,True,True
10,7,Pamela Anderson,Niecy Nash,Pamela Anderson,3.1388888888888893,2.9166666666666665,3.245302353045247e-05,0.001309842598317138,False,True,False,True
10,8,Niecy Nash,Niecy Nash,Niecy Nash,2.16,2.0,0.0005349247762033467,0.002097616416408142,True,True,True,True
10,9,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,1.6875,1.25,0.00016152400344584563,0.0032817399724324363,True,True,True,True
10,10,,Evan Lysacek,Evan Lysacek,0.6666666666666666,0.6666666666666666,0.00010961350051053444,0.0007440582646839012,True,True,False,False
11,1,David Hasselhoff,David Hasselhoff,David Hasselhoff,10.166666666666666,11.916666666666666,0.00020201677156983877,0.0002887925464082336,True,True,True,True
11,2,Michael Bolton,Michael Bolton,Michael Bolton,9.702479338842975,10.0,0.00020271547360375486,0.00026366328528806875,True,True,True,True
11,3,Margaret Cho,Margaret Cho,Margaret Cho,9.2,8.25,0.00012878524190741385,0.000360539591543906,True,True,True,True
11,4,The Situation,The Situation,The Situation,6.666666666666667,6.666666666666667,0.0005423221250858757,0.0005283894406588431,True,True,True,True
11,5,Florence Henderson,Florence Henderson,Florence Henderson,5.484375,5.25,0.00022453508030431115,0.0007476105784287394,True,True,True,True
11,6,Audrina Patridge,Kyle Massey,Audrina Patridge,4.0,4.0,0.00035911761320999027,0.0011093370569996352,False,True,False,True
11,7,Rick Fox,Rick Fox,Rick Fox,3.555555555555556,2.9166666666666665,4.9360990823648004e-05,0.0012349036519380514,True,True,True,True
11,8,Kurt Warner,Kurt Warner,Kurt Warner,2.56,2.0,0.0002904948380206483,0.002055395965728323,True,True,True,True
11,9,Brandy,Brandy,Brandy,1.25,1.25,0.00012503847337642346,0.003206031208148024,True,True,True,True
11,10,,Kyle Massey,Kyle Massey,0.6666666666666666,0.6666666666666666,0.00046237756678522025,0.0008086512445439682,True,True,False,False
12,1,,Mike Catherwood,Mike Catherwood,10.198347107438016,10.0,0.00024533587001364973,0.00020837088374814662,True,True,False,False
12,2,Mike Catherwood,Mike Catherwood,Mike Catherwood,9.504132231404958,10.0,0.0001218696504891791,0.0004161368565849607,True,True,True,True
12,3,Wendy Williams,Wendy Williams,Wendy Williams,8.29,8.25,0.00016682679710018346,0.0003340913028603822,True,True,True,True
12,4,Sugar Ray Leonard,Sugar Ray Leonard,Sugar Ray Leonard,7.135802469135803,6.666666666666667,0.00012277020791803836,0.0005952666921139487,True,True,True,True
12,5,Petra Nemcova,Petra Nemcova,Petra Nemcova,4.1875,5.25,0.0001112631523009884,0.0007853369016013372,True,True,True,True
12,6,Chris Jericho,Chris Jericho,Chris Jericho,4.693877551020408,4.0,0.00012975560594608216,0.001001383440247653,True,True,True,True
12,7,Kendra Wilkinson,Kendra Wilkinson,Kendra Wilkinson,2.805555555555555,2.9166666666666665,4.788294827625298e-05,0.0012938878340055088,True,True,True,True
12,8,Romeo,Romeo,Romeo,2.0,2.0,0.00014792899408284016,0.0015600115040271425,True,True,True,True
12,9,Ralph Macchio,Ralph Macchio,Ralph Macchio,1.25,1.25,0.0015516070620190134,0.0025982387153321517,True,True,True,True
12,10,,Chelsea Kane,Kirstie Alley,0.888888888888889,0.6666666666666666,8.09365344018588e-05,3.372118030894545e-05,True,False,False,False
13,1,Metta World Peace (Ron),Metta World Peace (Ron),Metta World Peace (Ron),12.020833333333334,11.916666666666666,0.00014319810477087127,0.00026867539685808395,True,True,True,True
13,2,Elisabetta Canalis,Carson Kressley,Elisabetta Canalis,10.380165289256198,10.0,6.979980253303485e-05,0.00039146872748565685,False,True,False,True
13,3,Kristin Cavallari,Carson Kressley,Kristin Cavallari,8.76,8.25,0.00011055920525556803,0.0004344585138795461,False,True,False,True
13,4,Chynna Phillips,Carson Kressley,Chynna Phillips,5.580246913580247,6.666666666666667,0.0001718406822075084,0.0005198318309158512,False,True,False,True
13,5,Carson Kressley,Carson Kressley,Carson Kressley,5.6875,5.25,0.00019098008148483474,0.0006185611045773363,True,True,True,True
13,6,Chaz Bono,Chaz Bono,Chaz Bono,4.693877551020408,4.0,0.000494725397779957,0.0007836880668686038,True,True,True,True
13,7,David Arquette,David Arquette,David Arquette,2.9166666666666665,2.9166666666666665,9.868748875609754e-05,0.001488336034205938,True,True,True,True
13,8,Nancy Grace,Nancy Grace,Nancy Grace,2.16,2.0,0.00038401335698633014,0.0012037217744086898,True,True,True,True
13,9,Hope Solo,Hope Solo,Hope Solo,1.25,1.25,0.0009291257710157973,0.0019646630254761548,True,True,True,True
13,10,,Ricki Lake,J.R. Martinez,0.6666666666666666,0.6666666666666666,2.5930451797899396e-06,3.0224220191065892e-05,False,True,False,False
14,1,,Martina Navratilova,Martina Navratilova,10.743055555555555,11.916666666666666,5.829903978052128e-05,4.8844576917533286e-05,True,True,False,False
14,2,Martina Navratilova,Martina Navratilova,Martina Navratilova,12.854166666666666,11.916666666666666,0.00010700592246590783,0.00021643151310845192,True,True,True,True
14,3,Jack Wagner,Jack Wagner,Jack Wagner,4.545454545454546,10.0,3.7949063923089924e-05,0.00030154417033532196,True,True,True,True
14,4,Sherri Sheperd,Sherri Sheperd,Sherri Sheperd,7.890000000000001,8.25,9.228388808045828e-05,0.0003706950476537347,True,True,True,True
14,5,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,7.728395061728396,6.666666666666667,0.00022783997858402634,0.00040666535850558666,True,True,True,True
14,6,Gladys Knight,Gladys Knight,Gladys Knight,5.25,5.25,0.0003408365162261342,0.0004885341452121796,True,True,True,True
14,7,Jaleel White,Jaleel White,Jaleel White,4.122448979591836,4.0,5.9093048975561337e-05,0.0009303471027251065,True,True,True,True
14,8,Roshon Fegan,Roshon Fegan,Roshon Fegan,2.888888888888889,2.9166666666666665,3.662866637363733e-05,0.001500279542122024,True,True,True,True
14,9,Maria Menounos,Donald Driver,Maria Menounos,1.25,1.25,2.3629489603024573e-05,0.003588622734754149,False,True,False,True
14,10,,Donald Driver,Donald Driver,0.2222222222222222,0.6666666666666666,3.095229778580454e-06,0.0006734919671218067,True,True,False,False
15,1,Pamela Anderson,Pamela Anderson,Pamela Anderson,14.366863905325443,14.0,4.810211331778213e-05,0.00015771806292083228,True,True,True,True
15,2,Joey Fatone,Joey Fatone,Joey Fatone,11.1875,11.916666666666666,5.7432787229573624e-05,0.0002552708478805237,True,True,True,True
15,3,Helio Castroneves,Drew Lachey,Helio Castroneves,10.561983471074381,10.0,2.197540380205499e-05,0.00032471542952584837,False,True,False,True
15,4,Bristol Palin,Bristol Palin,Bristol Palin,7.432098765432098,6.666666666666667,8.766961240744786e-05,0.0003885347776374144,True,True,True,True
15,5,,Kirstie Alley,Kirstie Alley,6.6875,5.25,2.4179257542188544e-05,3.0775566619909334e-05,False,False,False,False
15,6,Sabrina Bryan,Emmitt Smith,Sabrina Bryan,5.6875,5.25,3.3039000704832073e-05,0.0007216547583414516,False,True,False,True
15,7,,Kirstie Alley,Kirstie Alley,4.0,4.0,0.00019566932831235553,0.00015197254890402808,True,True,False,False
15,8,Gilles Marini,Kirstie Alley,Gilles Marini,4.408163265306122,4.0,4.760516938422886e-05,0.0009763830967555729,False,True,False,True
15,9,Apolo Anton Ohno,Emmitt Smith,Apolo Anton Ohno,2.0,2.0,4.8474420568966125e-05,0.002310418367532201,False,True,False,True
15,10,,Shawn Johnson,Melissa Rycroft,0.6666666666666666,0.6666666666666666,3.3215829448899056e-06,0.0002524007764280233,False,True,False,False
16,1,,D. L. Hughley,D. L. Hughley,12.409722222222221,11.916666666666666,0.00015083088084175022,0.0001543847935838934,True,True,False,False
16,2,,Dorothy Hamill,D. L. Hughley,11.576388888888888,11.916666666666666,0.00020809071635462384,0.00017310893152732877,False,True,False,False
16,3,Wynonna Judd,Wynonna Judd,Wynonna Judd,10.429752066115702,10.0,0.00023464707316306737,0.00036321372351507834,True,True,True,True
16,4,Lisa Vanderpump,Lisa Vanderpump,Lisa Vanderpump,7.760000000000001,8.25,0.000196109693877551,0.0004137330561556638,True,True,True,True
16,5,D. L. Hughley,D. L. Hughley,D. L. Hughley,5.506172839506172,6.666666666666667,0.0003142875635111008,0.0006478557280866592,True,True,True,True
16,6,Victor Ortiz,Victor Ortiz,Victor Ortiz,5.234375,5.25,0.00014148678313363218,0.0007273690306872723,True,True,True,True
16,7,Andy Dick,Andy Dick,Andy Dick,4.0,4.0,0.0006220824813857492,0.0007850153543013074,True,True,True,True
16,8,Sean Lowe,Sean Lowe,Sean Lowe,2.9166666666666665,2.9166666666666665,0.0003047137873080532,0.0011878719865645042,True,True,True,True
16,9,Ingo Rademacher,Ingo Rademacher,Ingo Rademacher,2.5599999999999996,2.0,0.0001187063024998741,0.002098136872774278,True,True,True,True
16,10,Alexandra Raisman,Alexandra Raisman,Alexandra Raisman,1.6875,1.25,5.0227458338594595e-05,0.0040281428746128025,True,True,True,True
17,1,,Keyshawn Johnson,Keyshawn Johnson,12.472222222222221,11.916666666666666,0.0001737806532118056,4.2150959324112066e-05,True,True,False,False
17,2,Keyshawn Johnson,Keyshawn Johnson,Keyshawn Johnson,13.305555555555557,11.916666666666666,0.00011973856948134748,0.00022461717456977507,True,True,True,True
17,3,Bill Nye,Bill Nye,Bill Nye,9.33884297520661,10.0,0.0002008127833859196,0.0001793398767087231,True,True,True,True
17,4,Valerie Harper,Valerie Harper,Valerie Harper,9.25,8.25,0.00014260535170645727,0.00028363046643384044,True,True,True,True
17,5,Christina Milian,Elizabeth Berkley Lauren,Christina Milian,7.580246913580246,6.666666666666667,6.214755573439749e-05,0.000524060834872454,False,True,False,True
17,6,,Bill Engvall,Bill Engvall,5.25,5.25,0.00013323352725822988,5.030533280828046e-05,True,True,False,False
17,7,"Nicole ""Snooki"" Polizzi",Bill Engvall,"Nicole ""Snooki"" Polizzi",5.859375,5.25,4.450659621195518e-05,0.0006584040547425452,False,True,False,True
17,8,Brant Daugherty,Brant Daugherty,Brant Daugherty,4.775510204081633,4.0,0.00012290072278911562,0.0008997448301063727,True,True,True,True
17,9,Elizabeth Berkley Lauren,Amber Riley,Elizabeth Berkley Lauren,2.888888888888889,2.9166666666666665,0.00026790963298899817,0.0016420842141037426,False,True,False,True
17,10,Leah Remini,Leah Remini,Leah Remini,2.0,2.0,0.0003787755102040814,0.0015905893993901077,True,True,True,True
17,11,Bill Engvall,Bill Engvall,Bill Engvall,1.25,1.25,0.00035422771901840757,0.002956939915358854,True,True,True,True
18,1,,Billy Dee Williams,Billy Dee Williams,12.333333333333334,11.916666666666666,0.00014284650596637082,7.210936294154507e-05,True,True,False,False
18,2,Sean Avery,Billy Dee Williams,Sean Avery,9.355371900826448,10.0,0.00013381722233203995,0.00031612214620020115,False,True,False,True
18,3,,Drew Carey,Drew Carey,8.666666666666666,6.666666666666667,7.837229674610732e-05,5.465289491855276e-05,False,False,False,False
18,4,,Candace Cameron Bure,Candace Cameron Bure,6.395061728395062,6.666666666666667,9.069369338729616e-05,6.790745686674664e-05,True,True,False,False
18,5,Cody Simpson,Cody Simpson,Cody Simpson,6.839506172839506,6.666666666666667,0.00010240040845855953,0.00038158997647067563,True,True,True,True
18,6,Drew Carey,Drew Carey,Drew Carey,4.6875,5.25,9.03815200442634e-05,0.0005064131836259517,True,True,True,True
18,7,NeNe Leakes,NeNe Leakes,NeNe Leakes,4.0,4.0,4.989731992407955e-05,0.0006255577133934235,True,True,True,True
18,8,Danica McKellar,Danica McKellar,Danica McKellar,1.8055555555555554,2.9166666666666665,6.30868161606669e-05,0.0011220226253538625,True,True,True,True
18,9,Charlie White,Candace Cameron Bure,Charlie White,1.7600000000000002,2.0,4.824429154902549e-05,0.0017864525805516185,False,True,False,True
18,10,James Maslow,James Maslow,James Maslow,1.25,1.25,0.0001901551913305809,0.003375039431725937,True,True,True,True
19,1,Lolo Jones,Lolo Jones,Lolo Jones,13.869822485207099,14.0,0.00014512400448524678,0.00019413650307814248,True,True,True,True
19,2,Tavis Smiley,Michael Waltrip,Tavis Smiley,9.076388888888888,11.916666666666666,6.846724933779666e-05,0.00023298270858330733,False,True,False,True
19,3,Randy Couture,Randy Couture,Randy Couture,10.793388429752067,10.0,0.00014803329608403516,0.00028543915665077966,True,True,True,True
19,4,Betsey Johnson,Jonathan Bennett,Betsey Johnson,8.04,8.25,0.00029492187500000005,0.00038581613923217644,False,True,False,True
19,5,,Michael Waltrip,Michael Waltrip,7.209876543209877,6.666666666666667,0.0004240638710335679,0.0002625758259859152,True,True,False,False
19,6,Jonathan Bennett,Antonio Sabato Jr.,Jonathan Bennett,5.728395061728396,6.666666666666667,0.00014006792575364528,0.0005034744824973367,False,True,False,True
19,7,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,5.25,5.25,0.00013462721997538243,0.0006181187709794442,True,True,True,True
19,8,Michael Waltrip,Michael Waltrip,Michael Waltrip,4.0,4.0,0.0006450551084117313,0.0007477489203413793,True,True,True,True
19,9,Lea Thompson,Lea Thompson,Lea Thompson,3.5555555555555554,2.9166666666666665,0.000255966071757844,0.0011812230149077121,True,True,True,True
19,10,Tommy Chong,Tommy Chong,Tommy Chong,2.0,2.0,0.00024019515856633523,0.001380809268518556,True,True,True,True
19,11,Bethany Mota,Bethany Mota,Bethany Mota,1.25,1.25,2.1310346182202297e-05,0.002502044209075539,True,True,True,True
20,1,,Redfoo,Redfoo,9.90972222222222,11.916666666666666,9.311999789037885e-05,5.0507167623657104e-05,True,True,False,False
20,2,Redfoo,Noah Galloway,Redfoo,12.520833333333334,11.916666666666666,9.475805149301314e-05,0.0002601200440715042,False,True,False,True
20,3,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,9.966942148760328,10.0,0.0001973975744899571,0.00021300308887851983,True,True,True,True
20,4,Michael Sam,Suzanne Somers,Michael Sam,8.01,8.25,0.0001216568047337278,0.00032210360887706055,False,True,False,True
20,5,Suzanne Somers,Suzanne Somers,Suzanne Somers,6.444444444444445,6.666666666666667,0.0003721168841638986,0.0004629713445519241,True,True,True,True
20,6,Patti LaBelle,Patti LaBelle,Patti LaBelle,5.1875,5.25,2.6337886601156263e-05,0.0005158825359623114,True,True,True,True
20,7,Willow Shields,Willow Shields,Willow Shields,3.0612244897959187,4.0,0.00019802080420487365,0.0009227248800172669,True,True,True,True
20,8,Robert Herjavec,Robert Herjavec,Robert Herjavec,2.9166666666666665,2.9166666666666665,0.0003236851861166534,0.0009987629238232944,True,True,True,True
20,9,Nastia Liukin,Noah Galloway,Nastia Liukin,1.6875,1.25,2.7891598036431487e-05,0.003196429250007521,False,True,False,True
20,10,,Noah Galloway,Noah Galloway,0.888888888888889,0.6666666666666666,0.0002642356982428328,0.00046598558921387575,True,True,False,False
21,1,,Kim Zolciak-Biermann,Kim Zolciak-Biermann,13.940828402366863,14.0,0.00029576331360946754,0.00014422738563389783,True,True,False,False
21,2,Victor Espinoza,Victor Espinoza,Victor Espinoza,13.905325443786982,14.0,0.00011539918180200993,0.00023616360340126549,True,True,True,True
